URL,状态码,标题,服务器信息,指纹ID,指纹名称,响应头,匹配结果,备注
https://www.360.com,200,360官网 -360安全中心 - 360安全软件 - 360智能硬件 - 360智能家居 - 360企业服务,nginx,[finger demo，finger demo，finger demo],[5，1，4],"HTTP/1.1 404 Not Found\nServer: nginx\ncontent-length: 564\ncontent-type: text/html; charset=utf-8\ndate: Thu, 03 Apr 2025 06:50:13 GMT\nserver: nginx\n",true,发现3个指纹
https://www.sougou.com,200,搜狗宠物天下,,[finger demo，finger demo，finger demo],[5，4，1],"HTTP/1.1 403 Forbidden\ncontent-length: 251\ncontent-type: text/html; charset=utf-8\ndate: Thu, 03 Apr 2025 06:50:14 GMT\nretry-after: 5\nserver: Varnish\nx-cache: synth synth\nx-varnish: 3382407\n",true,发现3个指纹
https://www.baidu.com,200,,BWS/1.1,[finger demo，finger demo，finger demo，finger demo],[1，4，5，3],"HTTP/1.1 200 OK\nServer: BWS/1.1\naccept-ranges: bytes\ncache-control: max-age=86400\ncontent-length: 194\ncontent-type: text/html\ndate: Thu, 03 Apr 2025 06:54:25 GMT\netag: ""c2-51112534a1200""\nexpires: Fri, 04 Apr 2025 06:54:25 GMT\nlast-modified: Thu, 12 Mar 2015 07:28:08 GMT\np3p: CP="" OTI DSP COR IVA OUR IND COM ""\nserver: Apache\nset-cookie: BAIDUID=BB9C351607C9DB4CBC6AF49B9CF71973:FG=1; expires=Fri, 03-Apr-26 06:54:25 GMT; max-age=31536000; path=/; domain=.baidu.com; version=1\nvary: Accept-Encoding,User-Agent\n",true,发现4个指纹
https://www.360.com,200,360官网 -360安全中心 - 360安全软件 - 360智能硬件 - 360智能家居 - 360企业服务,nginx,[finger demo，finger demo，finger demo],[1，5，4],"HTTP/1.1 404 Not Found\nServer: nginx\ncontent-length: 162\ncontent-type: text/html; charset=utf-8\ndate: Thu, 03 Apr 2025 06:54:25 GMT\nserver: nginx\n",true,发现3个指纹
https://www.sougou.com,200,搜狗宠物天下,,[finger demo，finger demo，finger demo],[4，5，1],"HTTP/1.1 403 Forbidden\ncontent-length: 251\ncontent-type: text/html; charset=utf-8\ndate: Thu, 03 Apr 2025 06:54:26 GMT\nretry-after: 5\nserver: Varnish\nx-cache: synth synth\nx-varnish: 5360161\n",true,发现3个指纹
https://www.baidu.com,200,,BWS/1.1,[finger demo，finger demo，finger demo，finger demo],[5，1，4，3],"HTTP/1.1 200 OK\nServer: BWS/1.1\naccept-ranges: bytes\ncache-control: max-age=86400\ncontent-length: 194\ncontent-type: text/html\ndate: Thu, 03 Apr 2025 06:57:07 GMT\netag: ""c2-51112534a1200""\nexpires: Fri, 04 Apr 2025 06:57:07 GMT\nlast-modified: Thu, 12 Mar 2015 07:28:08 GMT\np3p: CP="" OTI DSP COR IVA OUR IND COM ""\nserver: Apache\nset-cookie: BAIDUID=34CDCF9BAED8A0AE889F7E2374EA52E2:FG=1; expires=Fri, 03-Apr-26 06:57:07 GMT; max-age=31536000; path=/; domain=.baidu.com; version=1\nvary: Accept-Encoding,User-Agent\n",true,发现4个指纹
https://www.360.com,200,360官网 -360安全中心 - 360安全软件 - 360智能硬件 - 360智能家居 - 360企业服务,nginx,[finger demo，finger demo，finger demo],[4，5，1],"HTTP/1.1 404 Not Found\nServer: nginx\ncontent-length: 162\ncontent-type: text/html; charset=utf-8\ndate: Thu, 03 Apr 2025 06:57:08 GMT\nserver: nginx\n",true,发现3个指纹
https://www.sougou.com,200,搜狗宠物天下,,[finger demo，finger demo，finger demo],[4，5，1],"HTTP/1.1 403 Forbidden\ncontent-length: 251\ncontent-type: text/html; charset=utf-8\ndate: Thu, 03 Apr 2025 06:57:09 GMT\nretry-after: 5\nserver: Varnish\nx-cache: synth synth\nx-varnish: 6397435\n",true,发现3个指纹
https://www.baidu.com,200,,BWS/1.1,[finger demo，finger demo，finger demo，finger demo],[1，4，5，3],"HTTP/1.1 200 OK\nServer: BWS/1.1\naccept-ranges: bytes\ncache-control: max-age=86400\ncontent-length: 194\ncontent-type: text/html\ndate: Thu, 03 Apr 2025 06:57:16 GMT\netag: ""c2-51112534a1200""\nexpires: Fri, 04 Apr 2025 06:57:16 GMT\nlast-modified: Thu, 12 Mar 2015 07:28:08 GMT\np3p: CP="" OTI DSP COR IVA OUR IND COM ""\nserver: Apache\nset-cookie: BAIDUID=970BACA00CF561F7C514BEB5E7A50ECD:FG=1; expires=Fri, 03-Apr-26 06:57:16 GMT; max-age=31536000; path=/; domain=.baidu.com; version=1\nvary: Accept-Encoding,User-Agent\n",true,发现4个指纹
https://www.360.com,200,360官网 -360安全中心 - 360安全软件 - 360智能硬件 - 360智能家居 - 360企业服务,nginx,[finger demo，finger demo，finger demo],[1，4，5],"HTTP/1.1 404 Not Found\nServer: nginx\ncontent-length: 162\ncontent-type: text/html; charset=utf-8\ndate: Thu, 03 Apr 2025 06:57:16 GMT\nserver: nginx\n",true,发现3个指纹
https://www.sougou.com,200,搜狗宠物天下,,[finger demo，finger demo，finger demo],[4，5，1],"HTTP/1.1 403 Forbidden\ncontent-length: 251\ncontent-type: text/html; charset=utf-8\ndate: Thu, 03 Apr 2025 06:57:17 GMT\nretry-after: 5\nserver: Varnish\nx-cache: synth synth\nx-varnish: 6460796\n",true,发现3个指纹
https://www.baidu.com,200,,BWS/1.1,[finger demo，finger demo，finger demo，finger demo],[4，5，1，3],"HTTP/1.1 200 OK\nServer: BWS/1.1\naccept-ranges: bytes\ncache-control: max-age=86400\ncontent-length: 194\ncontent-type: text/html\ndate: Thu, 03 Apr 2025 06:57:37 GMT\netag: ""c2-51112534a1200""\nexpires: Fri, 04 Apr 2025 06:57:37 GMT\nlast-modified: Thu, 12 Mar 2015 07:28:08 GMT\np3p: CP="" OTI DSP COR IVA OUR IND COM ""\nserver: Apache\nset-cookie: BAIDUID=063651EE955FA4E47A437BA83D8FBEEF:FG=1; expires=Fri, 03-Apr-26 06:57:37 GMT; max-age=31536000; path=/; domain=.baidu.com; version=1\nvary: Accept-Encoding,User-Agent\n",true,发现4个指纹
https://www.360.com,200,360官网 -360安全中心 - 360安全软件 - 360智能硬件 - 360智能家居 - 360企业服务,nginx,[finger demo，finger demo，finger demo],[4，5，1],"HTTP/1.1 404 Not Found\nServer: nginx\ncontent-length: 162\ncontent-type: text/html; charset=utf-8\ndate: Thu, 03 Apr 2025 06:57:38 GMT\nserver: nginx\n",true,发现3个指纹
https://www.sougou.com,200,搜狗宠物天下,,[finger demo，finger demo，finger demo],[5，4，1],"HTTP/1.1 403 Forbidden\ncontent-length: 251\ncontent-type: text/html; charset=utf-8\ndate: Thu, 03 Apr 2025 06:57:39 GMT\nretry-after: 5\nserver: Varnish\nx-cache: synth synth\nx-varnish: 5814535\n",true,发现3个指纹
https://www.baidu.com,200,,BWS/1.1,[finger demo，finger demo，finger demo，finger demo],[5，1，4，3],"HTTP/1.1 200 OK\nServer: BWS/1.1\naccept-ranges: bytes\ncache-control: max-age=86400\ncontent-length: 194\ncontent-type: text/html\ndate: Thu, 03 Apr 2025 06:58:52 GMT\netag: ""c2-51112534a1200""\nexpires: Fri, 04 Apr 2025 06:58:52 GMT\nlast-modified: Thu, 12 Mar 2015 07:28:08 GMT\np3p: CP="" OTI DSP COR IVA OUR IND COM ""\nserver: Apache\nset-cookie: BAIDUID=4B1E5E46957B59E5C554D2DF567F9D2E:FG=1; expires=Fri, 03-Apr-26 06:58:52 GMT; max-age=31536000; path=/; domain=.baidu.com; version=1\nvary: Accept-Encoding,User-Agent\n",true,发现4个指纹
https://www.360.com,200,360官网 -360安全中心 - 360安全软件 - 360智能硬件 - 360智能家居 - 360企业服务,nginx,[finger demo，finger demo，finger demo],[1，4，5],"HTTP/1.1 404 Not Found\nServer: nginx\ncontent-length: 162\ncontent-type: text/html; charset=utf-8\ndate: Thu, 03 Apr 2025 06:58:53 GMT\nserver: nginx\n",true,发现3个指纹
https://www.sougou.com,200,搜狗宠物天下,,[finger demo，finger demo，finger demo],[4，1，5],"HTTP/1.1 403 Forbidden\ncontent-length: 251\ncontent-type: text/html; charset=utf-8\ndate: Thu, 03 Apr 2025 06:58:54 GMT\nretry-after: 5\nserver: Varnish\nx-cache: synth synth\nx-varnish: 3436715\n",true,发现3个指纹
https://www.baidu.com,200,,BWS/1.1,[finger demo，finger demo，finger demo，finger demo],[5，1，4，3],"HTTP/1.1 200 OK\nServer: BWS/1.1\naccept-ranges: bytes\ncache-control: max-age=86400\ncontent-length: 194\ncontent-type: text/html\ndate: Thu, 03 Apr 2025 06:59:17 GMT\netag: ""c2-51112534a1200""\nexpires: Fri, 04 Apr 2025 06:59:17 GMT\nlast-modified: Thu, 12 Mar 2015 07:28:08 GMT\np3p: CP="" OTI DSP COR IVA OUR IND COM ""\nserver: Apache\nset-cookie: BAIDUID=A2CB140CEE7487CDD083762FE08E6D9F:FG=1; expires=Fri, 03-Apr-26 06:59:17 GMT; max-age=31536000; path=/; domain=.baidu.com; version=1\nvary: Accept-Encoding,User-Agent\n",true,发现4个指纹
https://www.360.com,200,360官网 -360安全中心 - 360安全软件 - 360智能硬件 - 360智能家居 - 360企业服务,nginx,[finger demo，finger demo，finger demo],[4，5，1],"HTTP/1.1 404 Not Found\nServer: nginx\ncontent-length: 564\ncontent-type: text/html; charset=utf-8\ndate: Thu, 03 Apr 2025 06:59:18 GMT\nserver: nginx\n",true,发现3个指纹
https://www.sougou.com,200,搜狗宠物天下,,[finger demo，finger demo，finger demo],[4，1，5],"HTTP/1.1 403 Forbidden\ncontent-length: 251\ncontent-type: text/html; charset=utf-8\ndate: Thu, 03 Apr 2025 06:59:20 GMT\nretry-after: 5\nserver: Varnish\nx-cache: synth synth\nx-varnish: 5194467\n",true,发现3个指纹
https://www.baidu.com,200,,BWS/1.1,[finger demo，finger demo，finger demo，finger demo],[4，5，1，3],"HTTP/1.1 200 OK\nServer: BWS/1.1\naccept-ranges: bytes\ncache-control: max-age=86400\ncontent-length: 194\ncontent-type: text/html\ndate: Thu, 03 Apr 2025 06:59:55 GMT\netag: ""c2-51112534a1200""\nexpires: Fri, 04 Apr 2025 06:59:55 GMT\nlast-modified: Thu, 12 Mar 2015 07:28:08 GMT\np3p: CP="" OTI DSP COR IVA OUR IND COM ""\nserver: Apache\nset-cookie: BAIDUID=DC6A4602B30DD555E81D45F3178FF0F3:FG=1; expires=Fri, 03-Apr-26 06:59:55 GMT; max-age=31536000; path=/; domain=.baidu.com; version=1\nvary: Accept-Encoding,User-Agent\n",true,发现4个指纹
https://www.360.com,200,360官网 -360安全中心 - 360安全软件 - 360智能硬件 - 360智能家居 - 360企业服务,nginx,[finger demo，finger demo，finger demo],[5，1，4],"HTTP/1.1 404 Not Found\nServer: nginx\ncontent-length: 162\ncontent-type: text/html; charset=utf-8\ndate: Thu, 03 Apr 2025 06:59:56 GMT\nserver: nginx\n",true,发现3个指纹
https://www.sougou.com,200,搜狗宠物天下,,[finger demo，finger demo，finger demo],[5，1，4],"HTTP/1.1 403 Forbidden\ncontent-length: 251\ncontent-type: text/html; charset=utf-8\ndate: Thu, 03 Apr 2025 06:59:57 GMT\nretry-after: 5\nserver: Varnish\nx-cache: synth synth\nx-varnish: 4120103\n",true,发现3个指纹
